pclass,survived,Residence,name,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,Gender
3,1,2,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,3,0,3101278,15.85, ,S, , ,"Ruotsinphytaa, Finland New York, NY",1
3,1,2,"Baclini, Miss. Eugenie",.75,2,1,2666,19.2583, ,C,C, ,"Syria New York, NY",1
3,1,2,"Baclini, Miss. Helene Barbara",.75,2,1,2666,19.2583, ,C,C, ,"Syria New York, NY",1
3,1,2,"Baclini, Miss. Marie Catherine",5,2,1,2666,19.2583, ,C,C, ,"Syria New York, NY",1
3,1,2,"Baclini, Mrs. Solomon (Latifa Qurban)",24,0,3,2666,19.2583, ,C,C, ,"Syria New York, NY",1
3,1,1,"Badman, Miss. Emily Louisa",18,0,0,A/4 31416,8.05, ,S,C, ,"London Skanteales, NY",1
3,0,2,"Badt, Mr. Mohamed",40,0,0,2623,7.225, ,C, , , ,0
2,0,1,"Bailey, Mr. Percy Andrew",18,0,0,29108,11.5, ,S, , ,"Penzance, Cornwall / Akron, OH",0
2,0,2,"Baimbrigge, Mr. Charles Robert",23,0,0,C.A. 31030,10.5, ,S, , ,Guernsey,0
3,0,2,"Balkic, Mr. Cerin",26,0,0,349248,7.8958, ,S, , , ,0
2,1,1,"Ball, Mrs. (Ada E Hall)",36,0,0,28551,13,D,S,10, ,"Bristol, Avon / Jacksonville, FL",1
2,0,1,"Banfield, Mr. Frederick James",28,0,0,C.A./SOTON 34068,10.5, ,S, , ,"Plymouth, Dorset / Houghton, MI",0
3,1,2,"Barah, Mr. Hanna Assi",20,0,0,2663,7.2292, ,C,15, , ,0
3,0,2,"Barbara, Miss. Saiide",18,0,1,2691,14.4542, ,C, , ,"Syria Ottawa, ON",1
3,0,2,"Barbara, Mrs. (Catherine David)",45,0,1,2691,14.4542, ,C, , ,"Syria Ottawa, ON",1
1,1,2,"Barber, Miss. Ellen ""Nellie""",26,0,0,19877,78.85, ,S,6, , ,1
1,1,1,"Barkworth, Mr. Algernon Henry Wilson",80,0,0,27042,30,A23,S,B, ,"Hessle, Yorks",0
3,0,0,"Barry, Miss. Julia",27,0,0,330844,7.8792, ,Q, , ,"New York, NY",1
3,0,1,"Barton, Mr. David John",22,0,0,324669,8.05, ,S, , ,"England New York, NY",0
2,0,0,"Bateman, Rev. Robert James",51,0,0,S.O.P. 1166,12.525, ,S, ,174,"Jacksonville, FL",0
1,0,0,"Baumann, Mr. John D", ,0,0,PC 17318,25.925, ,S, , ,"New York, NY",0
1,0,2,"Baxter, Mr. Quigg Edmond",24,0,1,PC 17558,247.5208,B58 B60,C, , ,"Montreal, PQ",0
1,1,2,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50,0,1,PC 17558,247.5208,B58 B60,C,6, ,"Montreal, PQ",1
1,1,2,"Bazzani, Miss. Albina",32,0,0,11813,76.2917,D15,C,8, , ,1
2,1,0,"Beane, Mr. Edward",32,1,0,2908,26, ,S,13, ,"Norwich / New York, NY",0
2,1,1,"Beane, Mrs. Edward (Ethel Clarke)",19,1,0,2908,26, ,S,13, ,"Norwich / New York, NY",1
1,0,2,"Beattie, Mr. Thomson",36,0,0,13050,75.2417,C6,C,A, ,"Winnipeg, MN",0
2,0,1,"Beauchamp, Mr. Henry James",28,0,0,244358,26, ,S, , ,England,0
3,0,1,"Beavan, Mr. William Thomas",19,0,0,323951,8.05, ,S, , ,England,0
2,1,2,"Becker, Master. Richard F",1,2,1,230136,39,F4,S,11, ,"Guntur, India / Benton Harbour, MI",0
2,1,2,"Becker, Miss. Marion Louise",4,2,1,230136,39,F4,S,11, ,"Guntur, India / Benton Harbour, MI",1
2,1,2,"Becker, Miss. Ruth Elizabeth",12,2,1,230136,39,F4,S,13, ,"Guntur, India / Benton Harbour, MI",1
2,1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36,0,3,230136,39,F4,S,11, ,"Guntur, India / Benton Harbour, MI",1
1,1,0,"Beckwith, Mr. Richard Leonard",37,1,1,11751,52.5542,D35,S,5, ,"New York, NY",0
1,1,0,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47,1,1,11751,52.5542,D35,S,5, ,"New York, NY",1
2,1,1,"Beesley, Mr. Lawrence",34,0,0,248698,13,D56,S,13, ,London,0
1,1,0,"Behr, Mr. Karl Howell",26,0,0,111369,30,C148,C,5, ,"New York, NY",0
3,0,2,"Bengtsson, Mr. John Viktor",26,0,0,347068,7.775, ,S, , ,"Krakudden, Sweden Moune, IL",0
2,1,0,"Bentham, Miss. Lilian W",19,0,0,28404,13, ,S,12, ,"Rochester, NY",1
3,0,2,"Berglund, Mr. Karl Ivar Sven",22,0,0,PP 4348,9.35, ,S, , ,"Tranvik, Finland New York",0
2,0,1,"Berriman, Mr. William John",23,0,0,28425,13, ,S, , ,"St Ives, Cornwall / Calumet, MI",0
3,0,2,"Betros, Master. Seman", ,0,0,2622,7.2292, ,C, , , ,0
3,0,2,"Betros, Mr. Tannous",20,0,0,2648,4.0125, ,C, , ,Syria,0
1,1,2,"Bidois, Miss. Rosalie",42,0,0,PC 17757,227.525, ,C,4, , ,1
3,1,2,"Bing, Mr. Lee",32,0,0,1601,56.4958, ,S,C, ,"Hong Kong New York, NY",0
1,1,2,"Bird, Miss. Ellen",29,0,0,PC 17483,221.7792,C97,S,8, , ,1
3,0,2,"Birkeland, Mr. Hans Martin Monsen",21,0,0,312992,7.775, ,S, , ,"Brennes, Norway New York",0
1,0,2,"Birnbaum, Mr. Jakob",25,0,0,13905,26, ,C, ,148,"San Francisco, CA",0
1,1,0,"Bishop, Mr. Dickinson H",25,1,0,11967,91.0792,B49,C,7, ,"Dowagiac, MI",0
1,1,0,"Bishop, Mrs. Dickinson H (Helen Walton)",19,1,0,11967,91.0792,B49,C,7, ,"Dowagiac, MI",1
1,1,2,"Bissette, Miss. Amelia",35,0,0,PC 17760,135.6333,C99,S,8, , ,1
3,0,2,"Bjorklund, Mr. Ernst Herbert",18,0,0,347090,7.75, ,S, , ,"Stockholm, Sweden New York",0
1,1,2,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28,0,0,110564,26.55,C52,S,D, ,"Stockholm, Sweden / Washington, DC",0
1,0,0,"Blackwell, Mr. Stephen Weart",45,0,0,113784,35.5,T,S, , ,"Trenton, NJ",0
1,1,0,"Blank, Mr. Henry",40,0,0,112277,31,A31,C,7, ,"Glen Ridge, NJ",0
1,1,0,"Bonnell, Miss. Caroline",30,0,0,36928,164.8667,C7,S,8, ,"Youngstown, OH",1
1,1,1,"Bonnell, Miss. Elizabeth",58,0,0,113783,26.55,C103,S,8, ,"Birkdale, England Cleveland, Ohio",1
1,0,1,"Borebank, Mr. John James",42,0,0,110489,26.55,D22,S, , ,"London / Winnipeg, MB",0
3,0,2,"Bostandyeff, Mr. Guentcho",26,0,0,349224,7.8958, ,S, , ,"Bulgaria Chicago, IL",0
2,0,0,"Botsford, Mr. William Hull",26,0,0,237670,13, ,S, , ,"Elmira, NY / Orange, NJ",0
3,0,2,"Boulos, Master. Akar",6,1,1,2678,15.2458, ,C, , ,"Syria Kent, ON",0
3,0,2,"Boulos, Miss. Nourelain",9,1,1,2678,15.2458, ,C, , ,"Syria Kent, ON",1
3,0,2,"Boulos, Mr. Hanna", ,0,0,2664,7.225, ,C, , ,Syria,0
3,0,2,"Boulos, Mrs. Joseph (Sultana)", ,0,2,2678,15.2458, ,C, , ,"Syria Kent, ON",1
3,0,2,"Bourke, Miss. Mary", ,0,2,364848,7.75, ,Q, , ,"Ireland Chicago, IL",1
3,0,2,"Bourke, Mr. John",40,1,1,364849,15.5, ,Q, , ,"Ireland Chicago, IL",0
3,0,2,"Bourke, Mrs. John (Catherine)",32,1,1,364849,15.5, ,Q, , ,"Ireland Chicago, IL",1
1,1,0,"Bowen, Miss. Grace Scott",45,0,0,PC 17608,262.375, ,C,4, ,"Cooperstown, NY",1
3,0,2,"Bowen, Mr. David John ""Dai""",21,0,0,54636,16.1, ,S, , ,"Treherbert, Cardiff, Wales",0
2,0,2,"Bowenur, Mr. Solomon",42,0,0,211535,13, ,S, , ,London,0
1,1,1,"Bowerman, Miss. Elsie Edith",22,0,1,113505,55,E33,S,6, ,"St Leonards-on-Sea, England Ohio",1
2,0,0,"Bracken, Mr. James H",27,0,0,220367,13, ,S, , ,"Lake Arthur, Chavez County, NM",0
3,1,2,"Bradley, Miss. Bridget Delia",22,0,0,334914,7.725, ,Q,13, ,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY",1
1,1,2,"Bradley, Mr. George (""George Arthur Brayton"")", ,0,0,111427,26.55, ,S,9, ,"Los Angeles, CA",0
1,0,0,"Brady, Mr. John Bertram",41,0,0,113054,30.5,A21,S, , ,"Pomeroy, WA",0
3,0,2,"Braf, Miss. Elin Ester Maria",20,0,0,347471,7.8542, ,S, , ,"Medeltorp, Sweden Chicago, IL",1
1,0,0,"Brandeis, Mr. Emil",48,0,0,PC 17591,50.4958,B10,C, ,208,"Omaha, NE",0
3,0,1,"Braund, Mr. Lewis Richard",29,1,0,3460,7.0458, ,S, , ,"Bridgerule, Devon",0
3,0,1,"Braund, Mr. Owen Harris",22,1,0,A/5 21171,7.25, ,S, , ,"Bridgerule, Devon",0
1,0,0,"Brewe, Dr. Arthur Jackson", ,0,0,112379,39.6, ,C, , ,"Philadelphia, PA",0
3,0,2,"Brobeck, Mr. Karl Rudolf",22,0,0,350045,7.7958, ,S, , ,"Sweden Worcester, MA",0
3,0,1,"Brocklebank, Mr. William Alfred",35,0,0,364512,8.05, ,S, , ,"Broomfield, Chelmsford, England",0
2,1,1,"Brown, Miss. Amelia ""Mildred""",24,0,0,248733,13,F33,S,11, ,"London / Montreal, PQ",1
2,1,2,"Brown, Miss. Edith Eileen",15,0,2,29750,39, ,S,14, ,"Cape Town, South Africa / Seattle, WA",1
2,0,2,"Brown, Mr. Thomas William Solomon",60,1,1,29750,39, ,S, , ,"Cape Town, South Africa / Seattle, WA",0
1,1,2,"Brown, Mrs. James Joseph (Margaret Tobin)",44,0,0,PC 17610,27.7208,B4,C,6, ,"Denver, CO",1
1,1,2,"Brown, Mrs. John Murray (Caroline Lane Lamson)",59,2,0,11769,51.4792,C101,S,D, ,"Belmont, MA",1
2,1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40,1,1,29750,39, ,S,14, ,"Cape Town, South Africa / Seattle, WA",1
2,1,2,"Bryhl, Miss. Dagmar Jenny Ingeborg",20,1,0,236853,26, ,S,12, ,"Skara, Sweden / Rockford, IL",1
2,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",25,1,0,236853,26, ,S, , ,"Skara, Sweden / Rockford, IL",0
3,0,2,"Buckley, Miss. Katherine",18.5,0,0,329944,7.2833, ,Q, ,299,"Co Cork, Ireland Roxbury, MA",1
3,1,2,"Buckley, Mr. Daniel",21,0,0,330920,7.8208, ,Q,13, ,"Kingwilliamstown, Co Cork, Ireland New York, NY",0
1,1,0,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60,0,0,11813,76.2917,D15,C,8, ,"Philadelphia, PA",1
3,0,2,"Burke, Mr. Jeremiah",19,0,0,365222,6.75, ,Q, , ,"Co Cork, Ireland Charlestown, MA",0
1,1,2,"Burns, Miss. Elizabeth Margaret",41,0,0,16966,134.5,E40,C,3, , ,1
3,0,2,"Burns, Miss. Mary Delia",18,0,0,330963,7.8792, ,Q, , ,"Co Sligo, Ireland New York, NY",1
2,1,1,"Buss, Miss. Kate",36,0,0,27849,13, ,S,9, ,"Sittingbourne, England / San Diego, CA",1
2,0,1,"Butler, Mr. Reginald Fenton",25,0,0,234686,13, ,S, ,97,"Southsea, Hants",0
1,0,0,"Butt, Major. Archibald Willingham",45,0,0,113050,26.55,B38,S, , ,"Washington, DC",0
2,0,1,"Byles, Rev. Thomas Roussel Davids",42,0,0,244310,13, ,S, , ,London,0
2,1,0,"Bystrom, Mrs. (Karolina)",42,0,0,236852,13, ,S, , ,"New York, NY",1
3,0,2,"Cacic, Miss. Manda",21,0,0,315087,8.6625, ,S, , , ,1
3,0,2,"Cacic, Miss. Marija",30,0,0,315084,8.6625, ,S, , , ,1
3,0,2,"Cacic, Mr. Jego Grga",18,0,0,315091,8.6625, ,S, , , ,0
3,0,2,"Cacic, Mr. Luka",38,0,0,315089,8.6625, ,S, , ,Croatia,0
1,0,2,"Cairns, Mr. Alexander", ,0,0,113798,31, ,S, , , ,0
1,1,0,"Calderhead, Mr. Edward Pennington",42,0,0,PC 17476,26.2875,E24,S,5, ,"New York, NY",0
2,1,2,"Caldwell, Master. Alden Gates",.8333,0,2,248738,29, ,S,13, ,"Bangkok, Thailand / Roseville, IL",0
2,1,2,"Caldwell, Mr. Albert Francis",26,1,1,248738,29, ,S,13, ,"Bangkok, Thailand / Roseville, IL",0
2,1,0,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22,1,1,248738,29, ,S,13, ,"Bangkok, Thailand / Roseville, IL",1
3,0,2,"Calic, Mr. Jovo",17,0,0,315093,8.6625, ,S, , , ,0
3,0,2,"Calic, Mr. Petar",17,0,0,315086,8.6625, ,S, , , ,0
2,1,1,"Cameron, Miss. Clear Annie",35,0,0,F.C.C. 13528,21, ,S,14, ,"Mamaroneck, NY",1
2,0,2,"Campbell, Mr. William", ,0,0,239853,0, ,S, , ,Belfast,0
3,0,2,"Canavan, Miss. Mary",21,0,0,364846,7.75, ,Q, , , ,1
3,0,2,"Canavan, Mr. Patrick",21,0,0,364858,7.75, ,Q, , ,"Ireland Philadelphia, PA",0
1,1,0,"Candee, Mrs. Edward (Helen Churchill Hungerford)",53,0,0,PC 17606,27.4458, ,C,6, ,"Washington, DC",1
3,0,1,"Cann, Mr. Ernest Charles",21,0,0,A./5. 2152,8.05, ,S, , , ,0
3,0,2,"Caram, Mr. Joseph", ,1,0,2689,14.4583, ,C, , ,"Ottawa, ON",0
3,0,2,"Caram, Mrs. Joseph (Maria Elias)", ,1,0,2689,14.4583, ,C, , ,"Ottawa, ON",1
2,0,1,"Carbines, Mr. William",19,0,0,28424,13, ,S, ,18,"St Ives, Cornwall / Calumet, MI",0
1,1,0,"Cardeza, Mr. Thomas Drake Martinez",36,0,1,PC 17755,512.3292,B51 B53 B55,C,3, ,"Austria-Hungary / Germantown, Philadelphia, PA",0
1,1,0,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58,0,1,PC 17755,512.3292,B51 B53 B55,C,3, ,"Germantown, Philadelphia, PA",1
3,0,2,"Carlsson, Mr. August Sigfrid",28,0,0,350042,7.7958, ,S, , ,"Dagsas, Sweden Fower, MN",0
3,0,2,"Carlsson, Mr. Carl Robert",24,0,0,350409,7.8542, ,S, , ,"Goteborg, Sweden Huntley, IL",0
1,0,2,"Carlsson, Mr. Frans Olof",33,0,0,695,5,B51 B53 B55,S, , ,"New York, NY",0
3,1,2,"Carr, Miss. Helen ""Ellen""",16,0,0,367231,7.75, ,Q,16, ,"Co Longford, Ireland New York, NY",1
3,0,2,"Carr, Miss. Jeannie",37,0,0,368364,7.75, ,Q, , ,"Co Sligo, Ireland Hartford, CT",1
1,0,2,"Carrau, Mr. Francisco M",28,0,0,113059,47.1, ,S, , ,"Montevideo, Uruguay",0
1,0,2,"Carrau, Mr. Jose Pedro",17,0,0,113059,47.1, ,S, , ,"Montevideo, Uruguay",0
1,1,0,"Carter, Master. William Thornton II",11,1,2,113760,120,B96 B98,S,4, ,"Bryn Mawr, PA",0
1,1,0,"Carter, Miss. Lucile Polk",14,1,2,113760,120,B96 B98,S,4, ,"Bryn Mawr, PA",1
1,1,0,"Carter, Mr. William Ernest",36,1,2,113760,120,B96 B98,S,C, ,"Bryn Mawr, PA",0
2,0,1,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",44,1,0,244252,26, ,S, , ,London,1
1,1,0,"Carter, Mrs. William Ernest (Lucile Polk)",36,1,2,113760,120,B96 B98,S,4, ,"Bryn Mawr, PA",1
2,0,2,"Carter, Rev. Ernest Courtenay",54,1,0,244252,26, ,S, , ,London,0
3,0,1,"Carver, Mr. Alfred John",28,0,0,392095,7.25, ,S, , ,"St Denys, Southampton, Hants",0
1,0,1,"Case, Mr. Howard Brown",49,0,0,19924,26, ,S, , ,"Ascot, Berkshire / Rochester, NY",0
1,1,0,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)", ,0,0,17770,27.7208, ,C,5, ,"New York, NY",1
1,0,1,"Cavendish, Mr. Tyrell William",36,1,0,19877,78.85,C46,S, ,172,"Little Onn Hall, Staffs",0
1,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76,1,0,19877,78.85,C46,S,6, ,"Little Onn Hall, Staffs",1
3,0,2,"Celotti, Mr. Francesco",24,0,0,343275,8.05, ,S, , ,London,0
1,0,0,"Chaffee, Mr. Herbert Fuller",46,1,0,W.E.P. 5734,61.175,E31,S, , ,"Amenia, ND",0
1,1,0,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47,1,0,W.E.P. 5734,61.175,E31,S,4, ,"Amenia, ND",1
1,1,0,"Chambers, Mr. Norman Campbell",27,1,0,113806,53.1,E8,S,5, ,"New York, NY / Ithaca, NY",0
1,1,0,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33,1,0,113806,53.1,E8,S,5, ,"New York, NY / Ithaca, NY",1
2,0,0,"Chapman, Mr. Charles Henry",52,0,0,248731,13.5, ,S, ,130,"Bronx, NY",0
2,0,1,"Chapman, Mr. John Henry",37,1,0,SC/AH 29037,26, ,S, ,17,"Cornwall / Spokane, WA",0
2,0,1,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29,1,0,SC/AH 29037,26, ,S, , ,"Cornwall / Spokane, WA",1
3,0,2,"Charters, Mr. David",21,0,0,A/5. 13032,7.7333, ,Q, , ,"Ireland New York, NY",0
1,1,2,"Chaudanson, Miss. Victorine",36,0,0,PC 17608,262.375,B61,C,4, , ,1
